Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ACMR,ACM Research Inc. Class A Common Stock,$19.15,-0.06,-0.312%,1196316280.00,United States,2017,738522,Technology,Industrial Machinery/Components
ACNB,ACNB Corporation Common Stock,$42.24,-1.86,-4.218%,360967369.00,United States,,8360,Finance,Major Banks
ACNT,Ascent Industries Co. Common Stock,$9.09,-0.24,-2.572%,92033859.00,United States,,36205,Industrials,Steel/Iron Ore
ACON,Aclarion Inc. Common Stock,$0.195,0.017,9.551%,1873950.00,United States,2022,576611,Health Care,Medical Specialities
ACONW,Aclarion Inc. Warrant,$0.0281,0.0016,6.038%,270041.00,United States,2022,4018,Health Care,Medical Specialities
ACRS,Aclaris Therapeutics Inc. Common Stock,$1.21,0.02,1.681%,86326914.00,United States,2015,210867,Health Care,Biotechnology: Pharmaceutical Preparations
ACRV,Acrivon Therapeutics Inc. Common Stock,$8.05,-0.20,-2.424%,249325912.00,United States,2022,27540,Health Care,Biotechnology: Pharmaceutical Preparations
ACST,Acasti Pharma Inc. Common Stock,$3.22,-0.11,-3.303%,32650800.00,Canada,,21347,Health Care,Biotechnology: Pharmaceutical Preparations
ACT,Enact Holdings Inc. Common Stock,$36.02,-0.61,-1.665%,5608253306.00,United States,2021,197067,Finance,Specialty Insurers
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,$4.79,0.06,1.268%,480798449.00,United States,,388512,Miscellaneous,Multi-Sector Companies
ACTU,Actuate Therapeutics Inc. Common stock,$7.0899,-0.1701,-2.343%,138477346.00,United States,2024,36972,Health Care,Biotechnology: Pharmaceutical Preparations
ACVA,ACV Auctions Inc. Class A Common Stock,$18.59,-0.46,-2.415%,3096842923.00,United States,2021,658215,Consumer Discretionary,Business Services
ACXP,Acurx Pharmaceuticals Inc. Common Stock,$1.96,-0.05,-2.488%,31840394.00,United States,2021,76714,Health Care,Biotechnology: Pharmaceutical Preparations
ADAG,Adagene Inc. American Depositary Shares,$2.70,0.09,3.448%,119115012.00,China,2021,27985,Health Care,Biotechnology: Pharmaceutical Preparations
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,$0.8238,-0.0189,-2.243%,210678612.00,United Kingdom,2015,962329,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Inc. Common Stock,$497.71,2.81,0.568%,219091942000.00,United States,1986,1678626,Technology,Computer Software: Prepackaged Software
ADD,Color Star Technology Co. Ltd. Class A Ordinary Shares,$0.195,0.0115,6.267%,11985421.00,United States,,1294005,Consumer Discretionary,Engineering & Construction
ADEA,Adeia Inc. Common Stock,$12.22,-0.22,-1.768%,1330789906.00,United States,2003,233714,Technology,Computer Software: Prepackaged Software
ADGM,Adagio Medical Holdings Inc Common Stock,$2.79,-0.01,-0.357%,37351504.00,United States,,2665,Health Care,Medical/Dental Instruments
ADI,Analog Devices Inc. Common Stock,$225.67,-2.66,-1.165%,112043677990.00,United States,,2212166,Technology,Semiconductors
ADIL,Adial Pharmaceuticals Inc Common Stock,$1.07,0.06,5.941%,6851618.00,United States,2018,294082,Health Care,Biotechnology: Pharmaceutical Preparations
ADMA,ADMA Biologics Inc Common Stock,$15.62,-0.16,-1.014%,3640753758.00,United States,,3413514,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADN,Advent Technologies Holdings Inc. Class A Common Stock,$1.82,-0.02,-1.087%,4798445.00,United States,2018,25334,Miscellaneous,Industrial Machinery/Components
ADNWW,Advent Technologies Holdings Inc. Warrant,$0.0097,0.0007,7.778%,25574.00,United States,2018,43012,Miscellaneous,Industrial Machinery/Components
ADP,Automatic Data Processing Inc. Common Stock,$290.91,-1.38,-0.472%,118631702505.00,United States,,1044285,Technology,EDP Services
ADPT,Adaptive Biotechnologies Corporation Common Stock,$4.55,-0.13,-2.778%,670998515.00,United States,2019,968407,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,$13.53,-0.48,-3.426%,684411843.00,Ireland,,159601,Consumer Discretionary,Industrial Specialties
ADSEW,ADS-TEC ENERGY PLC Warrant,$3.145,0.035,1.125%,159089080.00,Ireland,,2004,Consumer Discretionary,Industrial Specialties
ADSK,Autodesk Inc. Common Stock,$289.78,-3.21,-1.096%,62302700000.00,United States,,1254401,Technology,Computer Software: Prepackaged Software
ADTN,ADTRAN Holdings Inc. Common Stock,$6.26,-0.06,-0.949%,495992614.00,United States,1994,309042,Utilities,Telecommunications Equipment
ADTX,Aditxt Inc. Common Stock,$1.09,0.04,3.81%,146842.00,United States,2020,4591059,Health Care,Biotechnology: Pharmaceutical Preparations
ADUS,Addus HomeCare Corporation Common Stock,$130.95,-0.86,-0.652%,2370232321.00,United States,2009,76524,Health Care,Medical/Nursing Services
